Tahun,Bulan,Tanggal,Jam UTC,Koofesian PC1,Koofesien PC2,Amplitudo PC1+PC2,Curah Hujan
2020,1,1,0,-0.25054,0.48458,0.54552,51.0
2020,1,2,0,-0.26876,0.62931,0.68429,6.0
2020,1,3,0,-0.40663,0.79343,0.89155,0.0
2020,1,4,0,-0.52165,0.94933,1.08321,16.0
2020,1,5,0,-0.56185,1.08779,1.22432,1.0
2020,1,6,0,-0.627,1.22344,1.37475,0.0
2020,1,7,0,-0.76552,1.34656,1.54895,1.0
2020,1,8,0,-0.9215,1.42872,1.70012,35.0
2020,1,9,0,-1.00309,1.48259,1.79004,10.0
2020,1,10,0,-1.09669,1.39863,1.77733,19.0
2020,1,11,0,-1.14917,1.14762,1.62408,40.0
2020,1,12,0,-1.09869,0.82806,1.37579,16.0
2020,1,13,0,-0.97713,0.45885,1.0795,0.0
2020,1,14,0,-0.82714,0.00715,0.82717,0.0
2020,1,15,0,-0.64204,-0.45243,0.78543,6.0
2020,1,16,0,-0.4118,-0.84752,0.94226,0.0
2020,1,17,0,-0.20885,-1.22886,1.24648,6.0
2020,1,18,0,-0.11146,-1.65494,1.65869,64.0
2020,1,19,0,0.04047,-1.95546,1.95588,1.0
2020,1,20,0,0.19337,-2.06474,2.07378,20.0
2020,1,21,0,0.39027,-2.11313,2.14887,37.0
2020,1,22,0,0.56571,-2.0579,2.13424,0.0
2020,1,23,0,0.71515,-1.90799,2.03761,0.0
2020,1,24,0,0.83447,-1.69061,1.88534,2.0
2020,1,25,0,0.92971,-1.44482,1.7181,15.0
2020,1,26,0,0.98488,-1.12732,1.49694,21.0
2020,1,27,0,1.09501,-0.76189,1.33399,52.0
2020,1,28,0,1.13438,-0.37199,1.19381,7.0
2020,1,29,0,1.16551,-0.01654,1.16563,36.0
2020,1,30,0,1.18873,0.31969,1.23097,8.0
2020,1,31,0,1.13559,0.57696,1.27375,33.0
2020,2,1,0,1.0058,0.79101,1.27958,1.0
2020,2,2,0,0.82964,0.95661,1.26625,1.0
2020,2,3,0,0.68883,1.10676,1.30361,0.0
2020,2,4,0,0.54158,1.16187,1.2819,16.0
2020,2,5,0,0.33284,1.27083,1.31369,1.0
2020,2,6,0,0.11785,1.31224,1.31752,64.0
2020,2,7,0,-0.11697,1.2535,1.25895,0.0
2020,2,8,0,-0.32626,1.15878,1.20383,7.0
2020,2,9,0,-0.46804,1.07917,1.1763,0.0
2020,2,10,0,-0.59668,0.96553,1.13502,36.0
2020,2,11,0,-0.69956,0.76406,1.03594,40.0
2020,2,12,0,-0.83121,0.46962,0.9547,7.0
2020,2,13,0,-0.89724,0.30128,0.94647,0.0
2020,2,14,0,-0.87656,0.13565,0.887,2.0
2020,2,15,0,-0.81957,0.04369,0.82073,0.0
2020,2,16,0,-0.71705,-0.03275,0.7178,29.0
2020,2,17,0,-0.63254,-0.11781,0.64342,22.0
2020,2,18,0,-0.55995,-0.19802,0.59394,41.0
2020,2,19,0,-0.43641,-0.26478,0.51045,6.0
2020,2,20,0,-0.2438,-0.27424,0.36694,31.0
2020,2,21,0,-0.02147,-0.25463,0.25553,4.0
2020,2,22,0,0.17797,-0.26621,0.32022,0.0
2020,2,23,0,0.32377,-0.20552,0.3835,1.0
2020,2,24,0,0.55704,-0.17036,0.58251,56.0
2020,2,25,0,0.79878,-0.03636,0.79961,40.0
2020,2,26,0,1.01474,0.14028,1.02439,8.0
2020,2,27,0,1.13434,0.30273,1.17404,1.0
2020,2,28,0,1.22788,0.4792,1.31808,3.0
2020,2,29,0,1.30372,0.66677,1.46433,46.0
2020,3,1,0,1.29408,0.81921,1.53158,17.0
2020,3,2,0,1.18444,0.94339,1.51422,1.0
2020,3,3,0,1.08138,1.07644,1.52581,0.0
2020,3,4,0,0.90903,1.20372,1.5084,35.0
2020,3,5,0,0.65672,1.15946,1.33253,43.0
2020,3,6,0,0.3265,1.05917,1.10835,2.0
2020,3,7,0,0.08735,1.01293,1.01669,76.0
2020,3,8,0,-0.14665,0.96924,0.98028,2.0
2020,3,9,0,-0.40615,0.88992,0.97822,12.0
2020,3,10,0,-0.52855,0.76054,0.92617,0.0
2020,3,11,0,-0.51563,0.51993,0.73226,22.0
2020,3,12,0,-0.50823,0.22453,0.55562,0.0
2020,3,13,0,-0.48531,-0.06684,0.48989,5.0
2020,3,14,0,-0.32841,-0.25574,0.41624,0.0
2020,3,15,0,-0.05271,-0.3196,0.32392,6.0
2020,3,16,0,0.18572,-0.31332,0.36423,27.0
2020,3,17,0,0.35269,-0.2691,0.44363,5.0
2020,3,18,0,0.46666,-0.17579,0.49867,0.0
2020,3,19,0,0.43218,-0.08799,0.44105,1.0
2020,3,20,0,0.33531,0.05376,0.33959,1.0
2020,3,21,0,0.27323,0.17474,0.32433,0.0
2020,3,22,0,0.2347,0.35226,0.42328,22.0
2020,3,23,0,0.18837,0.59565,0.62473,0.0
2020,3,24,0,0.11231,0.83162,0.83917,0.0
2020,3,25,0,0.07365,0.95012,0.95297,2.0
2020,3,26,0,0.06597,1.0345,1.0366,25.0
2020,3,27,0,0.04975,1.04861,1.04979,52.0
2020,3,28,0,0.06084,1.008,1.00983,0.0
2020,3,29,0,-0.05429,0.95447,0.95601,0.0
2020,3,30,0,-0.24603,0.83782,0.87319,12.0
2020,3,31,0,-0.40064,0.67784,0.78739,33.0
2020,4,1,0,-0.49214,0.50195,0.70296,34.0
2020,4,2,0,-0.52873,0.32625,0.62129,0.0
2020,4,3,0,-0.56615,0.28644,0.63449,0.0
2020,4,4,0,-0.56221,0.20483,0.59836,3.0
2020,4,5,0,-0.58094,0.05593,0.58362,1.0
2020,4,6,0,-0.62471,-0.08637,0.63066,8.0
2020,4,7,0,-0.54331,-0.27231,0.60773,8.0
2020,4,8,0,-0.36069,-0.34496,0.4991,99.0
2020,4,9,0,-0.25746,-0.40904,0.48332,3.0
2020,4,10,0,-0.225,-0.45618,0.50865,29.0
2020,4,11,0,-0.23637,-0.45588,0.51352,0.0
2020,4,12,0,-0.24383,-0.50631,0.56196,0.0
2020,4,13,0,-0.31881,-0.63679,0.71214,38.0
2020,4,14,0,-0.37067,-0.69851,0.79077,38.0
2020,4,15,0,-0.26852,-0.78018,0.82509,92.0
2020,4,16,0,-0.13487,-0.84264,0.85337,0.0
2020,4,17,0,0.00301,-0.87062,0.87062,0.0
2020,4,18,0,0.14391,-0.80224,0.81504,0.0
2020,4,19,0,0.31579,-0.7036,0.77121,0.0
2020,4,20,0,0.46406,-0.71832,0.85518,0.0
2020,4,21,0,0.63684,-0.65414,0.91294,0.0
2020,4,22,0,0.7915,-0.47333,0.92223,2.0
2020,4,23,0,0.96024,-0.2212,0.98539,0.0
2020,4,24,0,1.12069,0.08696,1.12406,0.0
2020,4,25,0,1.12915,0.43568,1.21029,2.0
2020,4,26,0,1.13899,0.68118,1.32714,0.0
2020,4,27,0,1.11108,0.84182,1.39397,0.0
2020,4,28,0,0.96844,0.94755,1.35489,0.0
2020,4,29,0,0.83691,1.10028,1.3824,6.0
2020,4,30,0,0.6898,1.14868,1.33988,0.0
2020,5,1,0,0.62115,1.14049,1.29867,0.0
2020,5,2,0,0.55466,1.05497,1.1919,0.0
2020,5,3,0,0.45386,0.9718,1.07256,0.0
2020,5,4,0,0.42817,0.83494,0.93833,0.0
2020,5,5,0,0.3006,0.7069,0.76816,1.0
2020,5,6,0,0.24405,0.60579,0.6531,0.0
2020,5,7,0,0.26626,0.48241,0.55101,0.0
2020,5,8,0,0.32168,0.32766,0.45917,0.0
2020,5,9,0,0.37803,0.19213,0.42406,0.0
2020,5,10,0,0.45388,0.12441,0.47063,0.0
2020,5,11,0,0.58644,0.07457,0.59116,0.0
2020,5,12,0,0.73257,0.08292,0.73724,3.0
2020,5,13,0,0.9513,0.15662,0.96411,0.0
2020,5,14,0,1.17883,0.33341,1.22507,0.0
2020,5,15,0,1.23332,0.50029,1.33093,0.0
2020,5,16,0,1.21697,0.67747,1.39283,0.0
2020,5,17,0,1.15828,0.81703,1.41745,0.0
2020,5,18,0,1.00384,0.96095,1.38965,0.0
2020,5,19,0,0.77763,1.00497,1.27069,28.0
2020,5,20,0,0.57225,1.02412,1.17316,0.0
2020,5,21,0,0.36477,0.9299,0.99889,19.0
2020,5,22,0,0.06368,0.76161,0.76427,0.0
2020,5,23,0,-0.19278,0.52869,0.56274,0.0
2020,5,24,0,-0.31204,0.31804,0.44556,0.0
2020,5,25,0,-0.35877,0.12773,0.38083,29.0
2020,5,26,0,-0.491,-0.07766,0.49711,25.0
2020,5,27,0,-0.51042,-0.32743,0.60642,0.0
2020,5,28,0,-0.42137,-0.50066,0.65438,78.0
2020,5,29,0,-0.42526,-0.65438,0.78042,0.0
2020,5,30,0,-0.4376,-0.76519,0.88149,11.0
2020,5,31,0,-0.38514,-0.81951,0.9055,0.0
2020,6,1,0,-0.32523,-0.82327,0.88518,0.0
2020,6,2,0,-0.24206,-0.78872,0.82503,2.0
2020,6,3,0,-0.18539,-0.7184,0.74194,13.0
2020,6,4,0,-0.11025,-0.55263,0.56352,0.0
2020,6,5,0,-0.14993,-0.33524,0.36723,0.0
2020,6,6,0,-0.23169,-0.14972,0.27586,0.0
2020,6,7,0,-0.18581,-0.03766,0.18959,18.0
2020,6,8,0,-0.21492,0.07316,0.22703,0.0
2020,6,9,0,-0.27309,0.17864,0.32633,0.0
2020,6,10,0,-0.34093,0.27558,0.43838,7.0
2020,6,11,0,-0.34189,0.32098,0.46895,0.0
2020,6,12,0,-0.26302,0.30209,0.40054,0.0
2020,6,13,0,-0.15513,0.22635,0.27441,0.0
2020,6,14,0,0.01727,0.09812,0.09963,0.0
2020,6,15,0,0.19687,-0.05609,0.2047,0.0
2020,6,16,0,0.29402,-0.13636,0.3241,0.0
2020,6,17,0,0.44019,-0.19513,0.4815,0.0
2020,6,18,0,0.57281,-0.22908,0.61692,0.0
2020,6,19,0,0.67882,-0.33482,0.7569,0.0
2020,6,20,0,0.73026,-0.39179,0.82872,0.0
2020,6,21,0,0.67157,-0.36218,0.76301,0.0
2020,6,22,0,0.60215,-0.27033,0.66005,0.0
2020,6,23,0,0.48231,-0.20043,0.5223,0.0
2020,6,24,0,0.30047,-0.07758,0.31033,0.0
2020,6,25,0,0.15261,0.08751,0.17592,0.0
2020,6,26,0,0.01409,0.17407,0.17464,0.0
2020,6,27,0,-0.06391,0.16647,0.17832,0.0
2020,6,28,0,-0.15166,0.19578,0.24765,0.0
2020,6,29,0,-0.24379,0.18667,0.30705,0.0
2020,6,30,0,-0.23025,0.10084,0.25137,0.0
2020,7,1,0,-0.12366,-0.0398,0.12991,0.0
2020,7,2,0,0.06062,-0.14974,0.16154,0.0
2020,7,3,0,0.25176,-0.20849,0.32688,2.0
2020,7,4,0,0.42346,-0.29002,0.51325,0.0
2020,7,5,0,0.56635,-0.34154,0.66137,0.0
2020,7,6,0,0.57541,-0.29426,0.64629,1.0
2020,7,7,0,0.5967,-0.18102,0.62356,5.0
2020,7,8,0,0.66551,-0.07878,0.67016,0.0
2020,7,9,0,0.6862,0.01311,0.68633,0.0
2020,7,10,0,0.69366,0.09132,0.69965,0.0
2020,7,11,0,0.6687,0.14577,0.68441,0.0
2020,7,12,0,0.68994,0.16765,0.71002,0.0
2020,7,13,0,0.67791,0.06613,0.68113,0.0
2020,7,14,0,0.67177,-0.03585,0.67273,0.0
2020,7,15,0,0.65638,-0.25332,0.70357,55.0
2020,7,16,0,0.63489,-0.4555,0.78139,0.0
2020,7,17,0,0.61871,-0.63152,0.88409,0.0
2020,7,18,0,0.64035,-0.73239,0.97286,0.0
2020,7,19,0,0.5991,-0.69387,0.91672,0.0
2020,7,20,0,0.53651,-0.62515,0.8238,0.0
2020,7,21,0,0.52867,-0.61192,0.80866,0.0
2020,7,22,0,0.56588,-0.50185,0.75636,0.0
2020,7,23,0,0.46895,-0.32178,0.56874,0.0
2020,7,24,0,0.41021,-0.01869,0.41064,0.0
2020,7,25,0,0.29911,0.20955,0.36521,0.0
2020,7,26,0,0.04915,0.43781,0.44056,0.0
2020,7,27,0,-0.29087,0.60069,0.66741,0.0
2020,7,28,0,-0.49958,0.72809,0.88301,0.0
2020,7,29,0,-0.67338,0.85463,1.08804,0.0
